ITEM_CODE,MODEL,ITEM_NAME,SPEC,UNIT
PHOE-1212150,1212150,1212150 Phoenix Contact WIREFOX 10 - Stripping tool,,PCS
PHOE-1277638,1277638,1277638 Phoenix Contact UT 2.5-HESI-EX (5X20) Fuse modular terminal,,PCS
PHOE-1329493,1329493,1329493 Phoenix Contact XTV 6 - Feed-through terminal,,PCS
PHOE-1329515,1329515,1329515 Phoenix Contact D-XTV 6 - End cover,,PCS
PHOE-1346525,1346525,HC-B06-HCWS-PLR-BK Phoenix Contact Cover,,PCS
PHOE-1346550,1346550,HC-B24-HCWS-PLR-BK Phoenix Contact Cover,,PCS
PHOE-1396415,1396415,1396415 Phoenix Contact UPS-BAT/LI/24DC/128WH - Battery module,,PCS
PHOE-1404475,1404475,1404475 Phoenix Contact M8 5pin Cable 1.5m.,,PCS
PHOE-1404476,1404476,1404476 Phoenix Contact M8 5pin Cable 3m.,,PCS
PHOE-1407471,1407471,1407471 NBC-M12MSX/ 1.0-94F/R4AC Phoenix Contact Network cable,,PCS
PHOE-1407502,1407502,1407502 NBC-M12MSD/10.0-93B/R4AC Phoenix Contact Network cable,,PCS
PHOE-1407660,1407660,HC-EVO-B24-BWSC-PLRBK Phoenix Contact Housing,,PCS
PHOE-1412758,1412758,HC-STA-B24-HHFS-1STM40-EL-AL Phoenix Contact Housing,,PCS
PHOE-1413285,1413285,1413285 Phoenix Contact ATP-DIKD 1.5 - Partition plate,,PCS
PHOE-1415863,1415863,1415863 Phoenix Contact SAC-3P-M 8MS/5.0-PVC,,PCS
PHOE-1421659,1421659,1421659 Phoenix Contact End clamp E/MK 1,,PCS
PHOE-1424649,1424649,1424649 Phoenix Contact SACC-M12MS-5PL M - Connector,,PCS
PHOE-1424678,1424678,1424678 Phoenix Contact Data connector SACC-M12MSB-2PL SH PB,,PCS
PHOE-1441079,1441079,1441079 Phoenix Contact SACC-M 8FS-4QO-0.5-M - Connector,,PCS
PHOE-1452848,1452848,1452848 Phoenix Contact SACB-8/ 8-L-C SCO P - Distributor box,,PCS
PHOE-1500716,1500716,1500716 Phoenix Contact SAC-4P-10PUR/M12FS SH.cable,,PCS
PHOE-1517929,1517929,1517929 Phoenix Contact SAC-5P- 5.0-900/FSB SCO - Bus system cable,,PCS
PHOE-1517932,1517932,1517932 Phoenix Contact SAC-5P-10.0-900/FSB SCO - Bus system cable,,PCS
PHOE-1543605,1543605,1543605 Phoenix Contact SAC-4P-15.0-PUR/M 8FS 0.34 - Sensor/actuator cable,,PCS
PHOE-1656725,1656725,1656725 Phoenix Contact RJ45 connector VS-08-RJ45-5-Q/IP20,,PCS
PHOE-1658435,1658435,1658435 Phoenix Contact RJ45 connector VS-PN-RJ45-5-Q/IP20,,PCS
PHOE-1662968,1662968,1662968 Phoenix Contact Connector,,PCS
PHOE-1668247,1668247,1668247 Phoenix Contact SAC-4P- 5.0-PUR/M12FR - Sensor/actuator cable,,PCS
PHOE-1669628,1669628,1669628 Phoenix Contact SAC-3P- 5.0-PUR/M 8FS - Sensor/actuator cable,,PCS
PHOE-1669741,1669741,1669741 Phoenix Contact SAC-3P- 3.0-PUR/M 8FR - Sensor/actuator cable,,PCS
PHOE-1669835,1669835,1669835 Phoenix Contact Sensor/actuator cable,,PCS
PHOE-1671386,1671386,1671386 Phoenix Contact SAC-3P-M12Y/2X0.6-PUR/M 8FR,,PCS
PHOE-1681143,1681143,1681143 Phoenix Contact SACC-M12FR-4CON-PG7-M - Connector,,PCS
PHOE-1681389,1681389,1681389 Phoenix Contact SAC-4P-10.0-PUR/M12FR - Sensor/actuator cable,,PCS
PHOE-1681790,1681790,1681790 Phoenix Contact SAC-4P-M 8MS/3.0-PUR - Sensor / actuator cable,,PCS
PHOE-1681936,1681936,1681936 Phoenix Contact SAC-3P-M 8MS/ 3.0-PUR/M 8FS - Sensor/actuator cable,,PCS
PHOE-1683002,1683002,"1683002 Phoenix Contact SAC-4P-10,0-PUR/M12FS Sensor/actuator cable",,PCS
PHOE-1683471,1683471,1683471 Phoenix Contact SAC-3P-M12Y/2XM 8FS - Y distributor,,PCS
PHOE-1693380,1693380,1693380 Phoenix Contact 1.5-PUR/M12FR-2L - Sensor/actuator cable,,PCS
PHOE-1693403,1693403,1693403 Phoenix Contact 3.0-PUR/M12FR-2L - Sensor/actuator cable,,PCS
PHOE-1693584,1693584,1693584 Phoenix Contact SAC-3P-M 8MS/10.0-PUR - Sensor/actuator cable,,PCS
PHOE-1694101,1694101,1694101 Phoenix Contact SAC-3P-10.0-PUR/M 8FS - Sensor/actuator cable,,PCS
PHOE-1792773,1792773,"1792773 Phoenix Contact MVSTBW 2,5/4-ST-5,08 PCB Connector",,PCS
PHOE-1804904,1804904,1804904 Phoenix Contact PCB connector PC 4/ 2-ST-7.62,,PCS
PHOE-1876615,1876615,1876615 Phoenix Contact Double-level terminal UKK 3-MSTB-5.08-PE,,PCS
PHOE-2302353,2302353,2302353 Phoenix Contact Potential distributors UMK- PVB 2/16/ZFKDS,,PCS
PHOE-2303132,2303132,2303132 Phoenix Contact Insertion bridge EBL 10-5,,PCS
PHOE-2305538,2305538,2305538 Phoenix Contact Switching jumper USBRJ 2-7,,PCS
PHOE-2320018,2320018,2320018 Phoenix Contact MINI-PS- 12- 24DC/ 5-15DC/2 - DC/DC converter,,PCS
PHOE-2320034,2320034,2320034 Phoenix Contact DC/DC converters,,PCS
PHOE-2320115,2320115,2320115 Phoenix Contact QUINT-PS/24DC/12DC/8 DC/DC converter,,PCS
PHOE-2320157,2320157,2320157 Phoenix Contact QUINT-DIODE,,PCS
PHOE-2320173,2320173,2320173 Phoenix Contact Redundancymodule QUINT 24DC,,PCS
PHOE-2320238,2320238,2320238 Phoenix Contact 24DC/20 - Uninterruptible power supply,,PCS
PHOE-2320908,2320908,2320908 PHOENIX CONTACT QUINT-PS/1AC/24DC/5A/CO Power Supply,,PCS
PHOE-2715979,2715979,2715979 Phoenix Contact DIKD 1.5 - Initiator/actuator terminal,,PCS
PHOE-2744403,2744403,2744403 Phoenix Contact ProfiBus Connector,,PCS
PHOE-2770011,2770011,2770011 Phoenix Contact Double-Level terminal UKK 3,,PCS
PHOE-2770024,2770024,2770024 Phoenix Contact D-UKK 3/5 - End cover,,PCS
PHOE-2770642,2770642,2770642 Phoenix Contact Fixed bridge FBRI 10-5 N,,PCS
PHOE-2771010,2771010,2771010 Phoenix Contact Terminal UKKB 3,,PCS
PHOE-2771023,2771023,2771023 Phoenix Contact D-UKKB 3/5 - End cover,,PCS
PHOE-2774017,2774017,2774017 Phoenix Contact UKK 5 - Double-level terminal,,PCS
PHOE-2775016,2775016,2775016 Phoenix Contact Feed-through terminal UDK 4,,PCS
PHOE-2775113,2775113,2775113 Phoenix Contact End cover D-UDK 4,,PCS
PHOE-2804429,2804429,2804429 Phoenix Contact VAL-MS230/1+1 Type2 Surge Arrester,,PCS
PHOE-2807586,2807586,2807586 Phoenix Contact VAL-MS 120 ST Type 2 surg,,PCS
PHOE-2832771,2832771,2832771 Phoenix Contact FL SWITCH SF 8TX,,PCS
PHOE-2832849,2832849,2832849 Phoenix Contact FL SWITCH SF 16TX,,PCS
PHOE-2832933,2832933,2832933 Phoenix Contact FL SWITCH SF 6TX/2FX,,PCS
PHOE-2833521,2833521,2833521 Phoenix Contact Relay base PR1-BSC3/2X21,,PCS
PHOE-2839538,2839538,2839538 Phoenix Contact Surge protect device TT-2-PE/S1-24D,,PCS
PHOE-2864095,2864095,2864095 Phoenix Contact MINI MCR-SL-R-UI Resistan,,PCS
PHOE-2866064,2866064,2866064 Phoenix Contact EMD-FL-3V-400 - Monitoring relay,,PCS
PHOE-2866268,2866268,2866268 Phoenix Contact Trio-PS/1AC/24DC/2.5A,,PCS
PHOE-2866310,2866310,2866310 Phoenix Contact Trio-PS/1AC/24DC/5A,,PCS
PHOE-2866323,2866323,2866323 Phoenix Contact TRIO-PS/1AC/24DC/10A,,PCS
PHOE-2866381,2866381,2866381 Phoenix Contact TRIO-PS/1AC/24DC/20A,,PCS
PHOE-2866404,2866404,2866404 Phoenix Contact TRIO-PS/3AC/24DC/40A,,PCS
PHOE-2866459,2866459,2866459 Phoenix Contact Trio-PS/3AC/24DC/10A,,PCS
PHOE-2866514,2866514,2866514 Phoenix Contact TRIO-DIODE Redundancy module,,PCS
PHOE-2866679,2866679,2866679 PHOENIX CONTACT QUINT-PS/1AC/48DC/5A Power supply,,PCS
PHOE-2866734,2866734,2866734 Phoenix Contact QUINT-PS/3AC/24DC/5 Power supply,,PCS
PHOE-2866747,2866747,2866747 Phoenix Contact QUINT-PS/1AC/24DC/3.5,,PCS
PHOE-2866750,2866750,2866750 Phoenix Contact QUINT-PS/1AC/24DC/5A,,PCS
PHOE-2866763,2866763,2866763 Phoenix Contact QUINT-PS/1AC/24DC/10A,,PCS
PHOE-2866776,2866776,2866776 Phoenix Contact QUINT-PS/1AC/24DC/20A,,PCS
PHOE-2866789,2866789,2866789 Phoenix Contact QUINT-PS/1AC/24DC/40A,,PCS
PHOE-2866792,2866792,2866792 Phoenix Contact QUINT-PS/3AC/24DC/20A,,PCS
PHOE-2866802,2866802,2866802 Phoenix Contact QUINT-PS/3AC/24DC/40A,,PCS
PHOE-2868596,2868596,2868596 Phoenix Contact Power Supply STEP-PS/1AC/24DC/0.5A,,PCS
PHOE-2868648,2868648,2868648 Phoenix Contact STEP-PS/ 1AC/24DC/1.75A,,PCS
PHOE-2868651,2868651,2868651 Phoenix Contact STEP-PS/ 1AC/24DC/2.5 - Power supply,,PCS
PHOE-2891001,2891001,2891001 Phoenix Contact FL Switch SFNB 5TX,,PCS
PHOE-2891002,2891002,2891002 Phoenix Contact FL Switch SFNB 8TX,,PCS
PHOE-2891018,2891018,2891018 Phoenix Contact FL SWITCH SFN 8TX-PN - Industrial Ethernet Switch,,PCS
PHOE-2891097,2891097,2891097 Phoenix Contact FL SWITCH SFN 7TX/FX,,PCS
PHOE-2891152,2891152,2891152 Phoenix Contact FL Switch SFN 5TX,,PCS
PHOE-2891929,2891929,2891929 Phoenix Contact FL Switch SFN 8TX,,PCS
PHOE-2891933,2891933,2891933 Phoenix Contact FL SWITCH SFN 16TX,,PCS
PHOE-2900299,2900299,2900299 PLC-RPT-24DC/21 Phoenix Contact Relay module,,PCS
PHOE-2900305,2900305,2900305 Phoenix Contact Relay Module,,PCS
PHOE-2900330,2900330,2900330 Phoenix Contact Relay Module,,PCS
PHOE-2900332,2900332,2900332 Phoenix Contact Relay Module,,PCS
PHOE-2900333,2900333,2900333 Phoenix Contact Relay Module,,PCS
PHOE-2900336,2900336,2900336 Phoenix Contact Relay Module,,PCS
PHOE-2900445,2900445,2900445 Phoenix Contact Relay Base,,PCS
PHOE-2900932,2900932,2900932 PHOENIX CONTACT RIF-2-BSC/4X21 Relay base,,PCS
PHOE-2900958,2900958,2900958 Phoenix Contact Relay base RIF-0-BPT/21,,PCS
PHOE-2902015,2902015,2902015 Phoenix Contact 4..20mA Repeater,,PCS
PHOE-2902992,2902992,2902992 Phoenix Contact UNO-PS/1AC/24DC/60W,,PCS
PHOE-2902995,2902995,2902995 Phoenix Contact UNO-PS/1AC/48DC/60W,,PCS
PHOE-2903147,2903147,2903147 Phoenix Contact TRIO-PS-2G/1AC/24DC/3/C2LPS,,PCS
PHOE-2903148,2903148,2903148 Phoenix Contact TRIO-PS-2G/1AC/24DC/5,,PCS
